vehicle_name	year	horsepower_weight	length_width	ac_standard	miles_per_dollar	price	market_share	firmid
FDTORI	71	0.4642972	1.5939	0	1.7112363	6.5975309	0.0040303	18
FT124	71	0.3759398	1.0368	0	2.4389011	5.1382716	0.0000986	17
FT850	71	0.2777778	0.7896	0	2.7893819	3.8395062	0.0000375	17
HD600	71	0.24375	0.8586	0	2.8361126	3.4444444	0.0001426	3
LCCONT	71	0.7196372	1.8	0	2.0795192	18.3185185	0.000537	18
LCMRKI	71	0.7295623	1.736	0	1.9704808	21.7604938	0.0004474	18
MB220/	71	0.4097222	1.295	0	1.8581044	13.1160494	0.0000406	9
MB2200	71	0.398514	1.295	0	1.8202747	13.3802469	0.0000902	9
MB256/	71	0.5252593	1.295	0	1.530989	15.7481481	0.0000996	9
MB280S	71	0.6226219	1.183	0	1.6500412	18.4419753	0.0002149	9
MCCOME	71	0.3828484	1.3419	0	2.1273626	5.637037	0.0009355	18
MCCOUG	71	0.7205044	1.4972	0	1.6578297	8.1209877	0.0007476	18
MCMARQ	71	0.5982513	1.8	0	1.6300137	11.0469136	0.0011278	18
MCMONT	71	0.4491945	1.638	0	1.6489286	6.8592593	0.0008613	18
MCMONT	71	0.5956813	1.8	0	1.5332143	9.5259259	0.0004689	18
MZ616	71	0.4367246	1.0106	0	2.5423764	5.4197531	0.000045	4
OD98	71	0.7163645	1.7933	0	1.8625549	11.9802469	0.0016992	19
ODCUTL	71	0.4458795	1.6016	0	1.8647802	7.4049383	0.0037666	19
ODDELT	71	0.5783133	1.768	0	1.7301511	9.8395062	0.0017	19
ODTORN	71	0.7739938	1.76	0	1.9204121	13.4740741	0.0005807	19
OP36	71	0.3335319	1.053	0	2.6124725	4.6987654	0.000033	26
PG504	71	0.3643564	1.1682	0	2.0873077	8.5876543	0.0000535	14
PLBARC	71	0.4152824	1.4025	0	1.6678434	6.5530864	0.0002886	16
PLFURY	71	0.391363	1.728	0	1.4175	7.7679012	0.0004296	16
PLSATL	71	0.4462912	1.6195	0	1.6021978	6.7506173	0.0017255	16
PLVALA	71	0.4409171	1.3608	0	1.8525412	5.9061728	0.0036957	16
PS911	71	0.6344951	1.0496	0	1.9526786	16.037037	0.0000799	12
PS914	71	0.430816	1.0205	0	2.2809066	8.8765432	0.0001579	12
PTBNNV	71	0.6646095	1.8	0	1.5343269	10.3950617	0.0006062	19
PTCATL	71	0.613196	1.768	0	1.469794	9.308642	0.0024072	19
PTFIRB	71	0.4582807	1.4208	0	1.6044231	7.5234568	0.0007911	19
PTGRNP	71	0.7765985	1.6401	0	1.733489	11.2518519	0.0010586	19
PTLEMA	71	0.4490554	1.5939	0	1.6578297	7.2222222	0.0024444	19
PTVNTU	71	0.620181	1.4235	0	1.7468407	6.1432099	0.0007183	19
RNR10	71	0.293655	1.002	0	2.5535027	4.5555556	0.0001105	24
SA99	71	0.3493976	1.1352	0	2.1229121	8.3333333	0.0000352	11
TYCELI	71	0.4273128	1.0332	0	2.3354258	6.4148148	0.0002635	1
TYCORO	71	0.4501279	0.948	0	2.5846566	4.9209877	0.0017463	1
TYCORO	71	0.4976959	1.0354	0	2.3888324	5.308642	0.0010177	1
TYCRMK	71	0.4675325	1.1008	0	2.2987088	5.6296296	0.0011712	1
TYCROW	71	0.3878583	1.2395	0	1.773544	7.0345679	0.000059	1
VV144	71	0.3761148	1.2627	0	2.1829945	8.3209877	0.0001615	6
VV164	71	0.441331	1.2648	0	2.0828571	10.2345679	0.0001453	6
VW411	71	0.3282937	1.1946	0	2.0606044	7.4049383	0.0003716	7
VWBEET	71	0.3191489	0.9699	0	2.6925824	4.5555556	0.0053179	7
VWSQB	71	0.2406293	1.1008	0	2.4800687	6.417284	0.0012028	7
AD90	72	0.4191896	1.1136	0	2.3123158	7.6435407	0.0003998	7
AMAMBS	72	0.4240882	1.6536	0	1.6604211	9.2942584	0.0004384	15
AMGREM	72	0.4009623	1.1502	0	2.2532632	4.7822967	0.0014679	15
AMHORN	72	0.3716091	1.278	0	2.1617895	5.4186603	0.0007952	15
AMJAVL	72	0.3477051	1.4592	0	1.9649474	6.715311	0.0003832	15
AMMATA	72	0.3153579	1.6068	0	2.1305263	6.6602871	0.000532	15
AR2000	72	0.5282555	1.0726	0	2.0367368	10.1770335	0.000029	20
BKCNTU	72	0.5106673	1.768	0	1.4207368	10.784689	0.0004574	19
BKELCT	72	0.4983389	1.816	0	1.3269474	11.6985646	0.0024542	19
BKLSAB	72	0.3570578	1.768	0	1.5110526	9.4688995	0.0024512	19
BKRIVE	72	0.575639	1.744	0	1.3605263	12.3181818	0.0094728	19
BWBAVR	72	0.6629449	1.2765	0	1.8815789	13.2894737	0.0003993	8
CDCALA	72	0.4682844	1.816	0	1.2725263	14.2057416	0.0001013	19
CDDEVI	72	0.4619908	1.816	0	1.2528421	15.2870813	0.0027395	19
CDELDR	72	0.5019223	1.784	0	1.1949474	17.2966507	0.0005873	19
CDFLTW	72	0.4528613	1.84	0	1.2528421	18.2703349	0.0002911	19
CPSPOR	72	0.3038898	1.092	0	2.1687368	6.0478469	0.0000233	25
CRNEWP	72	0.4639805	1.8	0	1.4404211	9.6913876	0.0011156	16
CRNEWY	72	0.5190311	1.8	0	1.3836842	11.638756	0.00025	16
CVBELA	72	0.2854177	1.76	0	1.5828421	7.6650718	0.000591	19
CVBISC	72	0.2851957	1.76	0	1.8317895	7.354067	0.0002286	19
CVCAMA	72	0.3524511	1.41	0	1.8028421	6.5311005	0.0006876	19
CVCAPR	72	0.4070881	1.76	0	1.3697895	9.5909091	0.0026856	19
CVCHEV	72	0.3433208	1.5352	0	1.8943158	6.3062201	0.0046944	19
CVCORV	72	0.622084	1.2627	0	1.7391579	13.0909091	0.0003838	19
CVIMPA	72	0.2800407	1.76	0	1.5538947	8.0598086	0.0083357	19
CVMNTC	72	0.4706218	1.5732	0	1.8503158	8.0430622	0.0029636	19
CVNOVA	72	0.3688799	1.387	0	2.0147368	5.6913876	0.0046645	19
CVVEGA	72	0.3707136	1.122	0	2.3933684	4.9282297	0.003886	19
DGCHLN	72	0.3583062	1.4784	0	1.8063158	6.6746411	0.0003687	16
DGCOLT	72	0.4015481	1.0168	0	2.4153684	5.3421053	0.000499	16
DGCORN	72	0.3283582	1.6146	0	1.738	6.5095694	0.0019904	16
DGDART	72	0.3502627	1.379	0	2.1652632	5.7894737	0.0032777	16
DGMONA	72	0.4396985	1.784	0	1.4334737	9.7966507	0.0003145	16
DGPOLA	72	0.3911343	1.76	0	1.5098947	8.6555024	0.0011965	16
DTLB11	72	0.4284814	0.906	0	2.9109474	4.7272727	0.0009629	2
DTPL51	72	0.4507594	0.992	0	2.6006316	5.8755981	0.0010598	2
FDCUST	72	0.2768073	1.752	0	1.6696842	7.7655502	0.0003223	18
FDGLX5	72	0.2735724	1.752	0	1.6523158	8.4617225	0.0026471	18
FDGRAN	72	0.3559088	1.425	0	1.9753684	6.854067	0.0043397	18
FDLTD	72	0.3763838	1.752	0	1.4462105	9.3062201	0.0043724	18
FDMAVE	72	0.3799815	1.3277	0	2.7094737	5.2511962	0.0033501	18
FDMUST	72	0.3417328	1.425	0	2.0784211	6.4090909	0.0016916	18
FDPINT	72	0.2620087	1.141	0	2.4489474	4.6889952	0.0063003	18
FDTHNB	72	0.484793	1.728	0	1.2505263	12.6626794	0.0008199	18
FDTORI	72	0.2791654	1.696	0	1.8178947	6.3181818	0.0008304	18
FT128	72	0.2792023	0.9702	0	2.8426316	4.8038278	0.0000658	17
IMLEBA	72	0.4540868	1.888	1	1.3304211	16.215311	0.0002098	16
LCCONT	72	0.4517951	1.8	1	1.5411579	17.4688995	0.0006564	18
LCMARK	72	0.442404	1.768	1	1.3107368	20.6698565	0.0007272	18
MB220/	72	0.3955749	1.295	0	1.8838947	14.992823	0.0000384	9
MB2200	72	0.386252	1.295	0	1.8491579	15.3421053	0.0000874	9
MB250/	72	0.4969927	1.295	0	1.7634737	17.2679426	0.0000479	9
MB280S	72	0.463674	1.3896	1	1.7576842	22.7344498	0.000191	9
MCCOME	72	0.5347794	1.3277	0	2.3366316	5.7368421	0.0009755	18
MCCOUG	72	0.4996953	1.4972	0	1.6743158	7.215311	0.0007059	18
MCMARQ	72	0.4742362	1.8	0	1.5550526	10.7488038	0.0012436	18
MCMONT	72	0.4053272	1.6827	0	1.6731579	6.8014354	0.0015754	18
MCMONT	72	0.3941006	1.8	0	1.4265263	9.0741627	0.0003687	18
MZ808	72	0.3571429	1.008	0	2.7604211	5.4904306	0.0000511	4
MZRX3	72	0.430622	1.008	0	2.4767368	6.9258373	0.000081	4
OD98	72	0.5058453	1.824	0	1.4323158	11.5	0.001744	19
ODCUTL	72	0.464711	1.6016	0	1.76	7.3349282	0.0041364	19
ODDELT	72	0.3821352	1.784	0	1.496	9.4449761	0.0015198	19
ODTORN	72	0.5501761	1.768	0	1.3767368	12.777512	0.0006808	19
OP31	72	0.3995738	1.0044	0	2.5450526	4.9019139	0.0000129	26
PG504	72	0.3881188	1.1682	0	2.1386316	8.9354067	0.0000463	14
PLBARC	72	0.3618421	1.4025	0	1.8422105	6.4832536	0.0002514	16
PLFURY	72	0.390625	1.744	0	1.5156842	8.2870813	0.000337	16
PLSATL	72	0.3353659	1.6195	0	1.7692632	6.4066986	0.0018739	16
PLVALA	72	0.3571429	1.3419	0	2.1594737	5.65311	0.0043307	16
PS911T	72	0.6367713	1.0496	0	2.1201053	17.3444976	0.0000768	12
PSRDST	72	0.430816	1.0205	0	2.4570526	8.9832536	0.0002268	12
PTBNNV	72	0.4314366	1.816	0	1.4357895	9.9736842	0.0014171	19
PTCATL	72	0.3851709	1.784	0	1.5041053	8.8827751	0.0005436	19
PTFIRB	72	0.3471127	1.4208	0	1.8329474	6.7894737	0.002612	19
PTLEMA	72	0.3364943	1.5939	0	1.8121053	6.7320574	0.0025585	19
PTLMNS	72	0.3985056	1.5939	0	1.4508421	8.1076555	0.0003203	19
PTVNTU	72	0.3692514	1.4235	0	2.0089474	5.8708134	0.0009696	19
RNR12	72	0.3560976	1.1245	0	2.4593684	5.4904306	0.0000449	24
SA99RE	72	0.372549	1.1524	0	2.0541053	9.0789474	0.0000457	11
TYCORO	72	0.4501279	0.948	0	2.6897895	5.2177033	0.0015955	1
TYCORO	72	0.4470046	0.9405	0	2.6550526	5.7057416	0.0007249	1
TYMKII	72	0.4208243	1.1008	0	2.4744211	6.145933	0.0008754	1
VV144	72	0.3745174	1.2627	0	2.1224211	8.5885167	0.0001498	6
VV164	72	0.4332875	1.2648	0	1.9151579	10.4545455	0.0001487	6
VW411	72	0.3282937	1.1946	0	2.0610526	7.8349282	0.0004771	7
VWBEET	72	0.3191489	0.9699	0	2.8021053	4.7822967	0.0052812	7
VWSQBA	72	0.2406293	1.1008	0	2.5809474	6.576555	0.0007257	7
AMAMBS	73	0.3986181	1.6614	1	1.6947526	10.0472973	0.0004219	15
AMGREM	73	0.3785011	1.1786	0	2.0678041	4.7252252	0.0019041	15
AMHORN	73	0.3503854	1.3135	0	2.0792474	5.277027	0.0012887	15
AMJAVL	73	0.348675	1.4668	0	1.9236186	6.5067568	0.000385	15
AMMATA	73	0.3040438	1.6302	0	1.8286392	6.4256757	0.0006244	15
BKAPOL	73	0.3172589	1.4454	0	1.9487938	5.9189189	0.000525	19
BKCENT	73	0.3968254	1.6614	0	1.5219588	6.8851351	0.0034898	19
BKCNTU	73	0.4042504	1.8	0	1.328567	9.8873874	0.0007197	19
BKELCT	73	0.4911591	1.84	0	1.2908041	11.0990991	0.0021412	19
BKLSAB	73	0.3542749	1.8	0	1.3995155	9.0045045	0.0020426	19
BKRIVE	73	0.5572893	1.792	0	1.2976701	11.759009	0.0003995	19
CDCALA	73	0.4441752	1.832	0	1.2656289	13.5990991	0.000102	19
CDDEVI	73	0.441324	1.832	0	1.2564742	14.6396396	0.0028938	19
CDELDR	73	0.4815574	1.776	0	1.1225876	16.5765766	0.0007187	19
CDFLTW	73	0.4312034	1.856	0	1.2530412	17.4887387	0.0003193	19
CRNEWP	73	0.4404762	1.848	0	1.3491649	9.4166667	0.0010072	16
CRNEWY	73	0.4936854	1.848	0	1.3411546	11.2545045	0.0001563	16
CVBELA	73	0.2567394	1.776	0	1.6260928	7.3130631	0.0005087	19
CVCAMA	73	0.3206156	1.4175	0	1.8561031	6.2635135	0.0015115	19
CVCAPR	73	0.3591954	1.776	0	1.4166804	9.1531532	0.0027552	19
CVCORV	73	0.5712568	1.2765	0	1.665	12.6914414	0.0004195	19
CVIMPA	73	0.3504108	1.776	0	1.4372784	8.4504505	0.0068129	19
CVMNTC	73	0.3905198	1.6458	0	1.762268	7.6914414	0.0039956	19
CVNOVA	73	0.3262643	1.4235	0	2.001433	5.4211712	0.0047302	19
CVVEGA	73	0.3244705	1.1418	0	2.3493093	4.7004505	0.0048425	19
DGCHLN	73	0.4754358	1.5323	0	1.6695773	6.7815315	0.000347	16
DGCOLT	73	0.405868	1.0168	0	2.3996598	5.4887387	0.0005085	16
DGCORN	73	0.3052326	1.6614	0	1.7027629	6.4572072	0.0019673	16
DGDART	73	0.3264605	1.428	0	2.0586495	5.6396396	0.0035353	16
DGMONA	73	0.4228856	1.832	0	1.429268	9.5	0.0002139	16
DGPOLA	73	0.3880983	1.816	0	1.5047938	8.3986486	0.0011579	16
DTLB12	73	0.4284814	0.906	0	2.8768454	4.9436937	0.0008194	2
DTPL61	73	0.4271246	1.0836	0	2.4408557	6.7454955	0.0010809	2
FDCST5	73	0.3892584	1.76	0	1.5047938	8.1216216	0.0004446	18
FDGRAN	73	0.3163503	1.455	0	1.9430722	6.6351351	0.0039297	18
FDLTD	73	0.384709	1.76	0	1.4864845	8.9144144	0.0031619	18
FDMAVE	73	0.3044581	1.3561	0	2.2611959	5.1914414	0.0040194	18
FDMUST	73	0.3171953	1.455	0	1.9465052	6.2162162	0.0013334	18
FDPINT	73	0.2553191	1.155	0	2.4717526	4.5518018	0.0068777	18
FDTORI	73	0.2571988	1.696	0	1.7393814	6.0833333	0.0007643	18
FT124	73	0.3680079	1.0368	0	2.6250928	5.7184685	0.000379	17
FT128	73	0.2729805	0.9702	0	2.6800206	5.1779279	0.0002786	17
FT850	73	0.2633229	0.7896	0	2.8173402	6.1689189	0.000179	17
HDCIVI	73	0.3255208	0.756	0	2.9729691	4.8423423	0.0002604	3
IMIMPE	73	0.4270109	1.888	1	1.2736392	15.8941441	0.0001834	16
LCCONT	73	0.4337493	1.84	1	1.3468763	16.8333333	0.000725	18
LCMARK	73	0.4237979	1.792	1	1.2564742	20.2342342	0.0009372	18
MB220	73	0.3986486	1.295	0	1.786299	16.1396396	0.0000395	9
MB220D	73	0.3933333	1.295	0	1.7668454	16.6328829	0.0000904	9
MB280	73	0.3957382	1.295	1	2.0220309	21.8310811	0.0001038	9
MB450S	73	0.4944054	1.2283	1	1.8664021	31.3783784	0.0001014	9
MCCOME	73	0.3072421	1.3703	0	2.4156804	5.3310811	0.0011237	18
MCCOUG	73	0.4946996	1.5	0	1.6215155	7.5945946	0.0008241	18
MCMARQ	73	0.3819522	1.784	0	1.5013608	10.4684685	0.0011237	18
MCMONT	73	0.2532342	1.6848	0	1.8320722	6.3536036	0.0016419	18
MCMONT	73	0.3810651	1.864	0	1.3812062	8.9211712	0.0002781	18
MZ808	73	0.3160494	1.008	0	2.7349485	5.8445946	0.0000869	4
OD98	73	0.4975674	1.848	0	1.3915052	10.9459459	0.0016468	19
ODCUTL	73	0.4754358	1.6247	0	1.5768866	7.0653153	0.0049646	19
ODDELT	73	0.3770917	1.8	0	1.4590206	8.9887387	0.0011266	19
ODOMEG	73	0.3144654	1.4454	0	1.9362062	5.9481982	0.0007276	19
ODTRND	73	0.5371723	1.816	0	1.3262784	12.2545045	0.0006575	19
OP53	73	0.3557875	1.0206	0	2.5346907	5.8806306	0.0008322	26
PG504	73	0.32	1.1682	0	2.0552165	9.527027	0.0000215	14
PLBARC	73	0.477707	1.4668	0	1.7039072	6.6103604	0.000254	16
PLFURY	73	0.3880983	1.792	0	1.4681753	8.0518018	0.0003039	16
PLSATL	73	0.3043478	1.6906	0	1.6981856	6.3603604	0.0022157	16
PLVALA	73	0.3315881	1.3916	0	2.0472062	5.5112613	0.0048631	16
PS911T	73	0.5319588	1.0816	0	2.1925361	18.4662162	0.0000836	12
PS914R	73	0.3553062	1.04	0	2.5324021	10.4707207	0.0001648	12
PTBNNV	73	0.3923379	1.8	0	1.3125464	9.3761261	0.0005635	19
PTCATL	73	0.3542749	1.8	0	1.4819072	8.490991	0.0024865	19
PTFIRB	73	0.3165559	1.4282	0	1.9350619	6.5202703	0.0007271	19
PTGRNP	73	0.5714286	1.7143	0	1.3651856	10.3220721	0.0020708	19
PTLEMA	73	0.2773925	1.6536	0	1.7027629	6.5720721	0.0029756	19
PTVNTU	73	0.3201024	1.4454	0	1.9739691	5.5878378	0.0010839	19
RNR12	73	0.3440038	1.131	0	2.4145361	5.8513514	0.0000489	24
SA992	73	0.4233871	1.1591	0	2.0105876	8.6599099	0.0000024	11
SBA22L	73	0.3085106	0.96	0	2.889433	5.9662162	0.0002498	5
TY1600	73	0.4356436	0.948	0	2.6205155	5.4707207	0.0000007	1
TYCELI	73	0.4173838	1.0332	0	2.3721959	7.1148649	0.0008531	1
TYCORO	73	0.4190065	0.9405	0	2.4030928	6.0337838	0.0008776	1
TYMXMK	73	0.4468864	1.1328	0	2.0575052	7.4977477	0.0003621	1
VV144	73	0.4068682	1.1656	0	2.0918351	9.7747748	0.000174	7
VV164E	73	0.42014	1.2648	0	1.8492371	13.231982	0.0002174	7
VW411	73	0.3240938	1.2144	0	2.1032784	8.1058559	0.0004362	7
AMAMBS	74	0.3895092	1.628	1	1.3974511	9.2474645	0.0002289	15
AMGREM	74	0.3775009	1.2141	0	1.6717519	5.0324544	0.0014614	15
AMHORN	74	0.3529827	1.3277	0	1.6921391	5.7281947	0.0016515	15
AMJAVL	74	0.3485535	1.4896	0	1.5855695	6.0831643	0.0002446	15
AMMATA	74	0.2919708	1.677	0	1.4326654	6.1906694	0.001083	15
BKAPOL	74	0.3071253	1.46	0	1.5494286	6.2068966	0.0006847	19
BKCENT	74	0.3856041	1.6906	0	1.2000658	7.7809331	0.0021722	19
BKLSAB	74	0.3458612	1.808	0	1.1046165	8.8336714	0.0028374	19
BKRIVE	74	0.4593176	1.816	0	0.9442989	11.5172414	0.000252	19
CDDEVI	74	0.4073927	1.848	0	0.9887801	16.4300203	0.0026081	19
CDELDR	74	0.4233871	1.792	0	0.8460695	18.4787018	0.0005112	19
CVCAMA	74	0.4381989	1.47	0	1.2704944	6.4137931	0.0019008	19
CVCORV	74	0.5893019	1.2834	0	1.35575	12.336714	0.0004146	19
CVIMPA	74	0.3448276	1.784	0	1.1351974	8.3874239	0.0078784	19
CVMNTC	74	0.3693327	1.6692	0	1.3307293	7.8803245	0.0039696	19
CVNOVA	74	0.3132832	1.4381	0	1.5447951	5.7626775	0.0042951	19
CVVEGA	74	0.3165893	1.1616	0	1.8385564	5.0811359	0.0045079	19
DGCHAR	74	0.3025937	1.6478	0	1.3177556	6.515213	0.0001082	16
DGCHLN	74	0.4651163	1.4925	0	1.3529699	6.3752535	0.0001328	16
DGCOLT	74	0.3962704	1.1072	0	1.9312256	5.7119675	0.0003254	16
DGCORN	74	0.2991453	1.677	0	1.3548233	6.6348884	0.0015677	16
DGDART	74	0.3109656	1.428	0	1.6115169	6.0060852	0.0041562	16
DTHL61	74	0.4148845	1.0962	0	1.8561635	7.3002028	0.0010522	2
DTJHL7	74	0.4159213	1.0836	0	1.8895244	6.4685598	0.0004649	2
FDLTD	74	0.3801032	1.784	0	1.0879361	8.8640974	0.0058361	18
FDMAVE	74	0.2946335	1.3774	0	1.7950019	5.7281947	0.003045	18
FDMUST	74	0.3358779	1.2425	0	1.665265	6.356998	0.0038717	18
FDPINT	74	0.3372681	1.183	0	1.7180865	5.1257606	0.0049868	18
FDTHNB	74	0.4559585	1.8	1	1.0517951	14.8681542	0.0006639	18
FDTORI	74	0.2458131	1.728	0	1.3715038	6.7931034	0.0037953	18
FT124	74	0.3274216	1.079	0	1.8978647	6.137931	0.0004477	17
FT128	74	0.2552083	0.9548	0	2.2073797	5.5983773	0.0003926	17
HDCIVI	74	0.3209877	0.8614	0	2.4242256	4.8174442	0.0003465	3
IMLEBA	74	0.4632427	1.856	1	1.0332613	15.8296146	0.0001701	16
LCCONT	74	0.4010446	1.864	1	1.022141	16.7099391	0.0005375	18
LCMARK	74	0.4102947	1.832	1	0.937812	20.6774848	0.0006763	18
MB230	74	0.3289474	1.316	0	1.5040207	17.0791075	0.0000346	9
MB240D	74	0.2012987	1.3561	0	1.8672838	17.6774848	0.0001347	9
MB280	74	0.3903904	1.295	1	1.4400789	22.2109533	0.0000871	9
MB450S	74	0.4603581	1.554	1	1.3390695	32.0892495	0.0000628	9
MCCOME	74	0.302267	1.3987	0	1.8237293	4.63286	0.0011555	18
MCCOUG	74	0.3807286	1.6985	0	1.0814492	9.5456389	0.0010152	18
MCMONT	74	0.2295082	1.738	0	1.3020019	6.5841785	0.0023081	18
ODCUTL	74	0.4587156	1.6555	0	1.1833853	7.8458418	0.0038516	19
ODDELT	74	0.4094631	1.816	0	1.0555019	8.8701826	0.0024933	19
ODOMEG	74	0.3056235	1.46	0	1.6003966	6.2292089	0.0005913	19
ODTORN	74	0.48957	1.824	0	0.925765	12.0344828	0.0003305	19
OP1900	74	0.348675	1.0206	0	1.7347669	6.4401623	0.0006608	26
PG540	74	0.3142857	1.1682	0	1.7106729	9.7971602	0.0000277	14
PLBARC	74	0.4545455	1.4896	0	1.3029286	6.5963489	0.0000852	16
PLGRNF	74	0.423341	1.784	0	1.0323346	9.4827586	0.0014848	16
PLSATL	74	0.2982955	1.704	0	1.3186823	6.5436105	0.0018614	16
PLVALA	74	0.3130148	1.4129	0	1.6059568	5.9675456	0.0048976	16
PS1.8R	74	0.3499261	1.053	0	1.9645865	10.9533469	0.0001343	12
PS911S	74	0.6177106	1.0816	0	1.7106729	24.0872211	0.0000678	12
PTCATL	74	0.4075454	1.808	0	1.0888628	8.4989858	0.0021568	19
PTFIRB	74	0.3045995	1.4504	0	1.6559981	6.7647059	0.0009391	19
PTGRNP	74	0.5493164	1.7004	0	1.0888628	10.0121704	0.0011274	19
PTLEMA	74	0.275634	1.704	0	1.3251692	6.5638945	0.0017933	19
PTVNTU	74	0.315557	1.46	0	1.5531353	5.9249493	0.0008353	19
RNR12	74	0.3120499	1.131	0	2.0007274	5.6693712	0.0000301	24
SA99LE	74	0.4104769	1.1591	0	1.614297	9.8336714	0.0000568	11
SBDL	74	0.2997543	0.96	0	2.1341711	6.6876268	0.0001689	5
TYCELI	74	0.4	1.0332	0	1.7625677	6.7931034	0.0008245	1
TYCORO	74	0.3170732	0.96	0	2.1749455	5.3732252	0.0014408	1
TYCORO	74	0.4008264	0.9405	0	1.899718	5.8397566	0.0007392	1
TYMARK	74	0.4326241	1.1328	0	1.6291241	7.6146045	0.0001983	1
VV144	74	0.3779473	1.1656	1	1.6643383	10.020284	0.0001626	6
VV164E	74	0.4019139	1.3056	1	1.5457218	14.188641	0.0001922	6
VW412	74	0.3044397	1.2144	0	1.6643383	8.31643	0.000324	7
VWBEET	74	0.2512288	1.0004	0	2.2944887	5.3245436	0.0033954	7
VWDASH	74	0.3658537	1.0899	0	1.9618064	8.336714	0.0005189	7
AD100L	75	0.3750493	1.2972	0	1.7079365	11.4349442	0.000281	7
ADFOX	75	0.3974485	1.1245	0	1.9925926	9.0148699	0.0004159	7
AMGREM	75	0.3340757	1.2141	0	1.8028219	5.2007435	0.0009142	15
AMHORN	75	0.3471017	1.3464	0	1.7079365	5.8066914	0.0013427	15
AMMATA	75	0.3067485	1.6848	0	1.5181658	6.4163569	0.0008378	15
AMPACE	75	0.3005008	1.3588	0	1.7079365	6.1319703	0.001328	15
ARALFE	75	0.5177578	1.1088	0	1.8028219	12.4442379	0.0000737	20
